#Created by Daniela Ledezma-Tejeida. Inquiries to dledezma@imsb.biol.ethz.ch
# V1:05.2021
# TF_name	bnumber	Uniprot_ID	metabolite_name	KEGG_ID
IlvY	b3773	P05827	2-acetolactate	C06010
IlvY	b3773	P05827	Alfa-acetohydroxybutirate	C05984
IscR	b2531	P0AGK8	a [2Fe-2S] iron-sulfur cluster	C00824
LacI	b0345	P03023	allolactose	C00243
LldR	b3604	P0ACL7	L-lactate	C00186
Lrp	b0889	P0ACJ0	L-leucine	C00123
LsrR	b1512	P76141	(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran	C21382 
LsrR	b1512	P76141	(4S)-4-hydroxy-5-phosphooxypentane-2,3-dione	C20959 
LsrR	b1512	P76141	autoinducer 2	C16421
MalT	b3418	P06993	ADP	C00008 
MalT	b3418	P06993	ATP	C00002
MalT	b3418	P06993	maltotriose	C01835
MarR	b1530	P27245	2,4-dinitrophenol	C02496
MarR	b1530	P27245	Benzoate	C00180
MarR	b1530	P27245	Menadione	C05377
MarR	b1530	P27245	Paraquat	C14701
MarR	b1530	P27245	Phenazine methosulfate	C00200
MarR	b1530	P27245	Plumbagin	C10387
MarR	b1530	P27245	salicylate	C00805
MarR	b1530	P27245	Sodium salicylate	C07587
MelR	b4118	P0ACH8	melibiose	C05402
MetJ	b3938	P0A8U6	adenine	C00147
MetJ	b3938	P0A8U6	methyl-5'-thioadenosine	C00170
MetJ	b3938	P0A8U6	S-adenosyl-L-methionine	C00019
MetR	b3828	P0A9F9	L-homocysteine	C00155
MhpR	b0346	P77569	3-(2,3-dihydroxyphenyl)propionate [DHPP]	C01198
MhpR	b0346	P77569	3-(3-hydroxyphenyl)propanoate	C11457
MntR	b0817	P0A9F1	Cd	C01413 
MntR	b0817	P0A9F1	Mn	C19610
ModE	b0761	P0A9G8	molybdate	C06232
MprA	b2684	P0ACR9	2,4-dinitrophenol	C02496
MprA	b2684	P0ACR9	Carbonyl cyanide p-(trifluoro-methoxy)phenylhydrazone	C11164
MprA	b2684	P0ACR9	carbonylcyanide -chlorophenylhydrazone	C11164
MurR	b2427	P77245	N-acetyl-D-muramate 6-phosphate	C16698 
NagC	b0676	P0AF20	acetyl-D-glucosamine 6-phosphate	C00357 
NanR	b3226	P0A8W0	acetylneuraminate	C00270
NemR	b1649	P67430	methylglyoxal	C00546
NfeR	b3071	P64588	Fe	C14818
NfeR	b3071	P64588	Ni	C19609
NhaR	b0020	P0A9G2	Na	C01330
NikR	b3481	P0A6Z6	Cd	C01413 
NikR	b3481	P0A6Z6	Co	C00175
NikR	b3481	P0A6Z6	Cu	C00070
NikR	b3481	P0A6Z6	Ni	C19609
NikR	b3481	P0A6Z6	Zn	C00038
NrdR	b0413	P0A8D0	ATP	C00002
NrdR	b0413	P0A8D0	dATP	C00131
NrdR	b0413	P0A8D0	Zn	C00038
NsrR	b4178	P0AF63	[2Fe-2S] oxidized	C22151
NsrR	b4178	P0AF63	[2Fe-2S] reduced	C22150
NsrR	b4178	P0AF63	nitric oxide	C00533
PaaX	b1399	P76086	phenylacetyl-CoA	C00582
PdhR	b0113	P0ACL9	pyruvate	C00022
PrpR	b0330	P77743	(2)-2-methylcitrate	C02225
PurR	b1658	P0ACP7	Guanine	C00242
PurR	b1658	P0ACP7	hypoxanthine	C00262
PuuR	b1299	P0ACP7	putrescine	C00134
PyrR	b2381	P0AE39	pyruvate	C00022
RbsR	b3753	P0ACQ0	D-ribose	C00121
RcnR	b2105	P64530	Co	C00175
RcnR	b2105	P64530	Ni	C19609
RhaR	b3906	P09378	L-rhamnose	C00507
RhaS	b3905	P09377	L-rhamnose	C00507
RutR	b1013	P0ACU2	thymine	C00178
RutR	b1013	P0ACU2	uracil	C00106
SoxR	b4063	P0ACS2	[2Fe-2S] oxydized	C22151
SoxR	b4063	P0ACS2	[2Fe-2S] reduced	C22150
SrlR	b2707	P15082	D-sorbitol	C00794
TreR	b4241	P36673	D-trehalose 6-phosphate	C00689
TreR	b4241	P36673	Trehalose	C01083
TrpR	b4393	P0A881	L-tryptophan	C00078
TyrR	b1323	P07604	L-phenylalanine	C00079
TyrR	b1323	P07604	L-tryptophan	C00078
TyrR	b1323	P07604	L-tyrosine	C00082
UlaR	b4191	P0A9W0	L-ascorbate 6-phosphate	C16186
UxuR	b4324	P39161	D-fructuronate	C00905
UxuR	b4324	P39161	D-galacturonate	C00333
UxuR	b4324	P39161	D-glucuronate	C00191   
XapR	b2405	P23841	xanthosine	C01762
XylR	b3569	P0ACI3	D-xylose	C01394
XynR	b0272	P77300	D-xylonate	C00502
YebK	b1853	P46118	2-dehydro-3-deoxy-D-gluconate 6-phosphate	C04442 
ZntR	b3292	P0ACS5	Cd	C01413 
ZntR	b3292	P0ACS5	Hg	C01319 
ZntR	b3292	P0ACS5	Zn	C00038
Zur	b4046	P0AC51	Zn	C00038
