# From bin/get_pathway_genes.pl on Fri Aug 21 11:52:50 2020
# Pathway ID	 Common Name
SALVADEHYPOX-PWY	adenosine nucleotides degradation II
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)
PWY-5484	glycolysis II (from fructose 6-phosphate)
SERSYN-PWY	L-serine biosynthesis I
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)
PWY-5973	<i>cis</i>-vaccenate biosynthesis
SERDEG-PWY	L-serine degradation
PWY-6284	superpathway of unsaturated fatty acids biosynthesis (<i>E. coli</i>)
PWY0-862	(5Z)-dodecenoate biosynthesis I
PWY-4621	arsenate detoxification II (glutaredoxin)
RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants)
PWY0-1597	prenylated FMNH<sub>2</sub> biosynthesis
GLUTSYN-PWY	L-glutamate biosynthesis I
GLUTSYNIII-PWY	L-glutamate biosynthesis III
PWY-1801	formaldehyde oxidation II (glutathione-dependent)
PWY0-1298	superpathway of pyrimidine deoxyribonucleosides degradation
PWY0-1477	ethanolamine utilization
PWY-6071	superpathway of phenylethylamine degradation
PWY0-981	taurine degradation IV
ORNDEG-PWY	superpathway of ornithine degradation
GLCMANNANAUT-PWY	superpathway of <i>N</i>-acetylglucosamine, <i>N</i>-acetylmannosamine and <i>N</i>-acetylneuraminate degradation
SULFATE-CYS-PWY	superpathway of sulfate assimilation and cysteine biosynthesis
ALKANEMONOX-PWY	two-component alkanesulfonate monooxygenase
SO4ASSIM-PWY	assimilatory sulfate reduction I
PWY-6153	autoinducer AI-2 biosynthesis I
GLYSYN-PWY	glycine biosynthesis I
COLANSYN-PWY	colanic acid building blocks biosynthesis
PLPSAL-PWY	pyridoxal 5'-phosphate salvage I
HOMOSERSYN-PWY	L-homoserine biosynthesis
PWY-5155	&beta;-alanine biosynthesis III
PYRIDOXSYN-PWY	pyridoxal 5'-phosphate biosynthesis I
PWY-6894	thiamine diphosphate biosynthesis I (E. coli)
PWY-7181	pyrimidine deoxyribonucleosides degradation
PWY-6892	thiazole biosynthesis I (facultative anaerobic bacteria)
THRDLCTCAT-PWY	L-threonine degradation III (to methylglyoxal)
PWY0-1295	pyrimidine ribonucleosides degradation
PWY-40	putrescine biosynthesis I
PWY-5437	L-threonine degradation I
PWY-46	putrescine biosynthesis III
PWY-6268	adenosylcobalamin salvage from cobalamin
PHOSLIPSYN-PWY	superpathway of phospholipid biosynthesis I (bacteria)
COBALSYN-PWY	superpathway of adenosylcobalamin salvage from cobinamide I
HEMESYN2-PWY	heme <i>b</i> biosynthesis II (anaerobic)
PWY-7971	adenosylcobinamide-GDP salvage from cobinami
