# From bin/get_pathway_genes.pl on Fri Aug 21 11:52:50 2020
# Pathway	Genes
FERMENTATION-PWY	pta,eutD,ackA,tdcE,pflB,eutE,adhE,adhP,pykA,pykF,ldhA,fumC,fumB,fumA,fumD,fumE,maeA,mdh,ppc,fdhF,hycE,hycB,hycG,hycF,hycC,hycD,frdA,frdB,frdC,frdD,gltA,acnB,icd
PWY0-1312	ackA,pta,eutD
PWY-4261	glpK,glpD,glpA,glpB,glpC
PWY-5686	carB,carA,pyrB,pyrI,pyrC,pyrE,pyrF,pyrD
ACETOACETATE-DEG-PWY	atoB,atoA,atoD,ydiF
PWY0-1545	pgsA,pgpA,pgpB,pgpC,clsC
PWY-6537	gabT,gabD
PWY-5668	pgpA,pgpB,pgpC,clsA,clsB,pgsA
PWY-6535	puuE,sad,puuC
TRYPDEG-PWY	tnaA
4AMINOBUTMETAB-PWY	sad,puuC,gabT,puuE,gabD
ALADEG-PWY	alr,dadX,dadA
TCA	maeA,mdh,fumC,fumB,fumA,fumD,fumE,sucD,sucC,sucA,sucB,lpd,icd,gltA,acnA,acnB,sdhD,sdhC,sdhB,sdhA,mqo
PWY-6910	pdxK,thiD
PWY0-1277	mhpC,mhpB,mhpA,hcaB,hcaC,hcaD,hcaF,hcaE,mhpD,mhpE,eutE,adhE,mhpF
LIPA-CORESYN-PWY	waaC,waaF,waaG,waaP,waaQ,waaY,waaB,waaO,waaJ,waaU
PWY-6122	purF,purD,purL,purM,purT
PWY0-1264	birA,accC,accA,accD
PWY-7315	rffC,wecE,rfbA,rffH,rfbB,rffG
KDO-NAGLIPASYN-PWY	waaA,lpxB,lpxK,lpxH,lpxD,lpxC,lpxA,lpxL,lpxP,lpxM,kdsB,kdsC,kdsA,kdsD,gutQ,acpP
PWY-6277	purN,purF,purD,purL,purM,purT
NAGLIPASYN-PWY	lpxB,lpxK,lpxH,lpxD,lpxC,lpxA,acpP
DTDPRHAMSYN-PWY	rfbC,rfbD,rfbB,rfbA,rffH
KDO-LIPASYN-PWY	lpxL,lpxM,acpP
PWY-6121	purF,purD,purN,purL,purM
LPSSYN-PWY	lpxB,lpxK,lpxH,lpxD,lpxC,lpxA,kdsB,kdsC,kdsA,kdsD,gutQ,waaA,lpxL,lpxM,waaC,waaF,waaG,waaP,waaQ,waaY,waaB,waaO,waaJ,waaU,acpP
PWY-7544	poxB,cyoD,cyoA,cyoB,cyoC
PWY0-1334	nuoA,nuoH,nuoJ,nuoK,nuoL,nuoM,nuoN,nuoI,nuoG,nuoF,nuoE,nuoC,nuoB,cydA,cydB,cydX
TYRSYN	tyrB,aspC,pheA,tyrA
PWY0-1544	cyoD,cyoA,cyoB,cyoC,putA
PWY0-1567	ndh,cyoD,cyoA,cyoB,cyoC
PWY0-1329	cyoD,cyoA,cyoB,cyoC,sdhD,sdhC,sdhB,sdhA
PWY-7805	phnO,phnL,phnH,phnG,phnI,phnM,phnJ,phnP,phnN,apt,ppa,phoA
PWY0-1353	sdhD,sdhC,sdhB,sdhA,cydA,cydB,cydX
CARNMET-PWY	caiA,caiB,caiD,caiC
PWY0-1565	dld,cyoD,cyoA,cyoB,cyoC
GLUTAMINDEG-PWY	gltB,gltD,asnB,carB,carA,pyrG,guaA,hisH,hisF,glsB,glsA
PWY-7545	poxB,cydA,cydB,cydX
FASYN-ELONG-PWY	fabA,fabZ,fabG,fabB,fabF,fabI,acpP
PWY0-1335	nuoA,nuoH,nuoJ,nuoK,nuoL,nuoM,nuoN,nuoI,nuoG,nuoF,nuoE,nuoC,nuoB,cyoD,cyoA,cyoB,cyoC
PWY-5965	fabF,fabB,acpP
PWY0-1561	glpD,cyoD,cyoA,cyoB,cyoC
PWY-4381	fabD,fabH,accA,accD,acpP
PWY0-1568	ndh,cydA,cydB,cydX
PWY0-881	fabD,accA,accD,fabH,fabA,fabZ,fabG,fabB,fabF,fabI,acpP
FASYN-INITIAL-PWY	fabD,accA,accD,fabB,fabF,fabH,acpP
TRESYN-PWY	otsA,otsB
PWY-5966	fabB,fabF,fabH,acpP
PWY-6708	ubiF,ubiE,ubiH,ubiG,ubiI,ubiD,ubiA
GLYCOGENSYNTH-PWY	glgA,glgB,glgC,pgm
PWY-5484	pykA,pykF,eno,gpmM,pgk,gapA,tpiA,fbaA,fbaB,pfkB,pfkA,ppsA,fbp,glpX,ybhA,yggF,phoA,gpmA
SERSYN-PWY	serC,serA,serB
GLYCOLYSIS	pykA,pykF,eno,gpmM,pgk,gapA,tpiA,fbaA,fbaB,pfkB,pfkA,pgi,ppsA,fbp,glpX,ybhA,yggF,gpmA
PWY-5973	tesA,fabB,fabF,fabG,fabZ,fabI,acpP
SERDEG-PWY	sdaB,tdcB,sdaA,tdcG
PWY-6284	fabA,tesA,fabB,fabF,fabG,fabZ,fabI,acpP
PWY0-862	fabI,fabG,fabB,fabZ,fabA,acpP
PWY-4621	arsC,nrdH,grxB,grxC,grxA
RIBOSYN2-PWY	ribF,ribC,ribE,ybjI,yigB,ribB,ribD,ribA
PWY0-1597	nudF,nudJ,thiM,ubiX
GLUTSYN-PWY	gltB,gltD
GLUTSYNIII-PWY	gdhA
PWY-1801	frmB,yeiG,frmA
PWY0-1298	cdd,deoA,ppnP,deoB,deoC,eutE,adhE,mhpF
PWY0-1477	eutB,eutC,eutE,mhpF,pta,eutD,ackA,purT,adhE,adhP
PWY-6071	tynA,feaB,paaH,paaE,paaA,paaC,paaB,paaJ,paaG,paaZ,paaK,paaF
PWY0-981	tauD
ORNDEG-PWY	speF,patD,patA,puuD,puuC,puuB,puuA
GLCMANNANAUT-PWY	nagB,nagA,nanE,nanA,nanK
SULFATE-CYS-PWY	cysH,cysJ,cysI,cysD,cysN,cysC,cysE,cysK,cysM,serC,serA,serB,aphA,trxC,trxA
ALKANEMONOX-PWY	ssuE,ssuD
SO4ASSIM-PWY	cysH,cysJ,cysI,cysD,cysN,cysC,trxC,trxA
PWY-6153	mtn,luxS
GLYSYN-PWY	glyA
COLANSYN-PWY	gmd,fcl,pgi,manA,cpsG,cpsB,galU,pgm,galE,ugd
PLPSAL-PWY	pdxH,pdxK,pdxY
HOMOSERSYN-PWY	lysC,asd,thrA,metL
PWY-5155	panD
PYRIDOXSYN-PWY	pdxH,epd,dxs,pdxJ,pdxB,serC,pdxA
PWY-6894	thiL,thiE
PWY-7181	cdd,deoA,ppnP
PWY-6892	thiG,dxs,thiF,thiH,iscS,sufS,fdx,thiS,thiI
THRDLCTCAT-PWY	tdh,yiaY,tynA
PWY0-1295	cdd,udp,ppnP,deoB
PWY-40	speA,speB
PWY-5437	tdcE,pflB,pta,tdcD,ackA,tdcB
PWY-46	speC
PWY-6268	btuR
PHOSLIPSYN-PWY	clsA,clsB,pssA,psd,gpsA,plsC,cdsA,plsB,pgsA,pgpA,pgpB,pgpC,clsC,acpP
COBALSYN-PWY	cobS,cobC,cobT,cobU,btuR
HEMESYN2-PWY	hemH,hemE,hemN,hemG
PWY-7971	cobU,btuR
HEME-BIOSYNTHESIS-II	hemE,hemG,hemH,hemF
PWY0-1415	hemF,hemH,efeB,yfeX,hemE,hemN,hemG
UDPNAGSYN-PWY	glmU,glmS,glmM,pgi
PWY0-1319	gpsA,plsC,cdsA,plsB,acpP
PWY-5667	cdsA,plsC,plsB,gpsA
PWY-5436	ltaE,eutE,adhE,mhpF
TRPSYN-PWY	trpC,trpE,trpD,trpA,trpB
THREONINE-DEG2-PWY	tdh,yiaY,kbl
PWY-6151	mtn,luxS,metK,metH,metE
PWY-5350	glpE,pspE,sseA,ygaP
UBISYN-PWY	ubiC,ubiF,ubiE,ubiH,ubiG,ubiI,ubiD,ubiA,ispB,ispA,idi
PWY-5901	entC,entB,entA
GALACT-GLUCUROCAT-PWY	uxaA,uxaB,uxuB,uxuA,kdgK,eda,uxaC,uidA
VALSYN-PWY	ilvD,ilvE,ilvC,ilvB,ilvN,G8221,ilvM,ilvI,ilvH
PWY0-166	dcd,nrdD,mazG,dut,nudI,thyA,tmk,ndk,adk,nrdE,nrdF,nrdA,nrdB,trxC,trxA,nrdH
XYLCAT-PWY	xylB,xylA
PWY0-781	thrB,thrC,aspC,dapF,lysA,dapE,argD,serC,dapD,dapA,asd,thrA,metL,lysC,dapB,metA,metE,metH,metB,metC,malY,nadD,nadE,nadC,nadA,nadB,metK
TCA-GLYOX-BYPASS	aceB,glcB,aceA,maeA,mdh,fumC,fumB,fumA,fumD,fumE,sucD,sucC,sucA,sucB,lpd,icd,gltA,prpC,acnA,acnB,sdhD,sdhC,sdhB,sdhA,mqo
PWY0-1471	rutA,rutD,rutE,ydfG,rutB,rutC
THRESYN-PWY	lysC,asd,thrA,metL,thrB,thrC,aspC
HOMOSER-THRESYN-PWY	thrB,thrC
ALL-CHORISMATE-PWY	ubiC,ubiF,ubiH,ubiG,ubiI,ubiD,ubiA,ispB,ispA,idi,aroB,aroG,aroH,aroF,aroC,aroA,aroL,aroK,ydiB,aroE,aroD,trpC,trpE,trpD,trpA,trpB,ilvE,tyrB,aspC,pheA,tyrA,entA,acpT,acpS,entD,entE,menE,menC,entC,menF,menD,menH,menB,menI,menA,ubiE,folP,folC,folA,folM,folK,folB,nudB,folE,pabB,pabA,pabC,entB,entF
FUC-RHAMCAT-PWY	fucA,fucK,fucI,fucU,rhaD,rhaB,rhaA,rhaM,aldA,lldD,fucO
PWY-6164	aroB,aroG,aroH,aroF
PWY0-162	carB,carA,pyrB,pyrI,pyrC,pyrE,pyrF,pyrD,pyrH,ndk,adk,pyrG
GLUCONSUPER-PWY	idnK,gntK
PWY0-1313	acs
GLUCARGALACTSUPER-PWY	gudD,garL,garR,garD,garK,glxK
ACETATEUTIL-PWY	acs,ackA,purT,pta,eutD
PWY-6703	folE,queD,queE,queC
PWY-1269	kdsB,kdsC,kdsA,kdsD,gutQ
PRPP-PWY	hisD,hisC,hisB,hisH,hisF,h
