# TRAN_FACTOR_NAME_RDB	TF_SYNS_RDB	FINAL_STATE_RDB	CON_SYNS_RDB	CONFORMATION_TYPE_RDB	INTERACTION_TYPE_RDB	APO_HOLO_CONFOR_RDB	EFFECTOR_NAME_RDB	EFFECTOR_TYPE_RDB	EFF_SYNS_RDB		TRANSC_FACTOR_NAME_ECO	TF_SYNS_ECO	FINAL_STATE_ECO	CON_SYNS_ECO	CONFORMATION_TYPE_ECO	INTERACTION_TYPE_ECO	APO_HOLO_ECO	EFFECTOR_NAME_ECO	EFFECTOR_TYPE_ECO	EFF_SYNS_ECO
ComR	DNA-binding transcriptional repressor ComR,YcfQ	ComR-Cu<SUP>+</SUP>		Inactive		Holo	Cu<SUP>+</SUP>	positive	Cu<sup>I</sup>,copper(I),cuprous copper,cuprous ion		DNA-binding transcriptional repressor ComR	ComR||YcfQ	ComR-Cu(I)		Inactive	None	None	Cu<SUP>+</SUP>	None	copper(I)||cuprous ion||cuprous copper||Cu<sup>I</sup>
Cra	DNA-binding transcriptional dual regulator Cra,FruC,FruR,Shl	"Cra-&beta;-D-fructofuranose 1-phosphate"	FruR-fructose-1-phosphate	Inactive	Allosteric	Holo	"&beta;-D-fructofuranose 1-phosphate"	negative	"&beta;-D-fructofuranose-1-P"		DNA-binding transcriptional dual regulator Cra	Shl||FruC||FruR||Cra	Cra-fructose-1-phosphate	FruR-fructose-1-phosphate	Inactive	None	None	"&beta;-D-fructofuranose 1-phosphate"	None	"&beta;-D-fructofuranose-1-P"
CRP	Cap,Csm,DNA-binding transcriptional dual regulator CRP,GurB	CRP-cAMP	CRP-cAMP	Active	Allosteric	Holo	cyclic-AMP	positive	3',5'-cyclic AMP,adenosine 3',5'-cyclic phosphate,adenosine cyclic-3',5'-monophosphate,adenosine cyclic-monophosphate,adenosine-3',5'-cyclic monophosphate,adenosine-3',5'-monophosphate,adenosine-cyclic-phosphate,adenosine-cyclic-phosphoric-acid,cAMP,cyclic 3',5'-AMP,cyclic-3',5'-adenosine monophosphate		DNA-binding transcriptional dual regulator CRP	GurB||Csm||Cap||Crp	CRP-cAMP DNA-binding transcriptional dual regulator	CRP-cAMP	Active	None	None	cyclic-AMP	None	cyclic 3',5'-AMP||3',5'-cyclic AMP||adenosine cyclic-3',5'-monophosphate||adenosine cyclic-monophosphate||adenosine-cyclic-phosphoric-acid||cAMP||adenosine-cyclic-phosphate||adenosine-3',5'-monophosphate||adenosine 3',5'-cyclic phosphate||adenosine-3',5'-cyclic monophosphate||cyclic-3',5'-adenosine monophosphate
CsqR	DNA-binding transcriptional dual regulator CsqR,YihW	CsqR-6-sulfo-D-quinovose	YihW-6-sulfo-D-quinovose	Inactive		Holo	6-sulfo-D-quinovose		6-deoxy-6-sulfo-D-glucopyranose,6-deoxy-6-sulfoglucose,sulfoquinovose,sulphoquinovose		DNA-binding transcriptional dual regulator CsqR	CsqR||YihW	CsqR-6-sulfo-D-quinovose	YihW-6-sulfo-D-quinovose	Inactive	None	None	6-sulfo-D-quinovose	None	sulphoquinovose||6-deoxy-6-sulfoglucose||6-deoxy-6-sulfo-D-glucopyranose||sulfoquinovose
CueR	CopR,DNA-binding transcriptional dual regulator CueR,YbbI	CueR-Cu<SUP>+</SUP>		Active	Allosteric	Holo	Cu<SUP>+</SUP>	positive	Cu<sup>I</sup>,copper(I),cuprous copper,cuprous ion		DNA-binding transcriptional dual regulator CueR	YbbI||CueR||CopR	DNA-binding transcriptional dual regulator CueR-Cu<sup>+</sup>		Active	None	None	Cu<SUP>+</SUP>	None	copper(I)||cuprous ion||cuprous copper||Cu<sup>I</sup>
CynR	DNA-binding transcriptional dual regulator CynR	CynR-cyanate	B0338,CynR,CynR-Cyanate	Active	Allosteric	Holo	cyanate	positive	cyanic acid,hydrogen cyanate		DNA-binding transcriptional dual regulator CynR	CynR	CynR-Cyanate DNA-binding transcriptional dual regulator	B0338||CynR||CynR-Cyanate	Active	None	None	cyanate	None	cyanic acid||hydrogen cyanate
CysB	DNA-binding transcriptional dual regulator CysB,positive transcriptional regulator for cysteine regulon	CysB-<i>O</i>-acetyl-L-serine		Active	Allosteric	Holo	<i>O</i>-acetyl-L-serine	positive	(2S)-3-acetyloxy-2-aminopropanoate,<i>O</i>-acetylserine,O<sup>3</sup>-acetyl-L-serine,acetylserine		DNA-binding transcriptional dual regulator CysB	positive transcriptional regulator for cysteine regulon||CysB	CysB-O-acetyl-L-serine DNA-binding transcriptional dual regulator		Active	None	None	<i>O</i>-acetyl-L-serine	None	O<sup>3</sup>-acetyl-L-serine||acetylserine||<i>O</i>-acetylserine||(2S)-3-acetyloxy-2-aminopropanoate
CytR	DNA-binding transcriptional repressor CytR	CytR-cytidine		Inactive	Allosteric	Holo	cytidine	negative			DNA-binding transcriptional repressor CytR	CytR	CytR-cytidine		Inactive	None	None	cytidine	None	
Dan	DNA-binding transcriptional activator Dan,TtdR,YgiP	Dan-L-tartrate		Active		Holo	L-tartrate		(+)-tartrate,(2R,3R)-tartaric acid,(2R,3R)-tartrate,(R,R)-tartrate,L(+)-tartaric acid,L-tartarate,L-tartaric acid,L-threarate,tartaric acid,tartrate,weinsaeure		DNA-binding transcriptional activator Dan	Dan||TtdR||YgiP	Dan-L-tartrate DNA-binding transcriptional activator		Active	None	None	L-tartrate	None	weinsaeure||(+)-tartrate||tartrate||tartaric acid||(R,R)-tartrate||L-tartaric acid||L(+)-tartaric acid||(2R,3R)-tartaric acid||(2R,3R)-tartrate||L-tartarate||L-threarate
DgoR	DNA-binding transcriptional regulator DgoR,YidW	DgoR-D-galactonate		Inactive		Holo	D-galactonate		galactonate		DNA-binding transcriptional regulator DgoR	DgoR||YidW	DgoR-D-galactonate		Inactive	None	None	D-galactonate	None	galactonate
DnaA	chromosomal replication initiator protein DnaA,chromosomal replication initiator protein/DNA-binding transcriptional dual regulator DnaA	DnaA-ATP	B3702,DnaA,DnaA-ATP	Active	Allosteric	Holo	ATP	positive	adenosine-5'-triphosphate,adenosine-triphosphate,adenylpyrophosphate		chromosomal replication initiator protein DnaA	DnaA||chromosomal replication initiator protein/DNA-binding transcriptional dual regulator DnaA	DnaA-ATP DNA-binding transcriptional dual regulator	B3702||DnaA||DnaA-ATP	Active	None	None	ATP	None	adenylpyrophosphate||adenosine-triphosphate||adenosine-5'-triphosphate
LldR	DNA-binding transcriptional dual regulator LldR,Lct,LctR	LldR-(<i>S</i>)-lactate		Active	Allosteric	Holo	(<i>S</i>)-lactate	positive	(<i>S</i>)-lactic acid,L(+)-lactate,L-lactate,L-lactic acid		DNA-binding transcriptional dual regulator LldR	Lct||LldR||LctR	DNA-binding transcriptional dual regulator LldR-L-lactate		Active	None	None	(<i>S</i>)-lactate	None	L-lactate||L(+)-lactate||L-lactic acid||(<i>S</i>)-lactic acid
DsdC	DNA-binding transcriptional dual regulator DsdC	DsdC-D-serine		Active	Allosteric	Holo	D-serine	positive			DNA-binding transcriptional dual regulator DsdC	DsdC	DsdC-D-serine DNA-binding transcriptional dual regulator		Active	None	None	D-serine	None	
ExuR	DNA-binding transcriptional repressor ExuR,negative regulator of exu regulon, exuT, uxaAC, and uxuB	"ExuR-&alpha;-D-galacturonate, &alpha;-D-glucuronate"		Active			"&alpha;-D-galacturonate"		"&alpha;-D-galacturonic acid"		DNA-binding transcriptional repressor ExuR	ExuR||negative regulator of exu regulon, exuT, uxaAC, and uxuB	"ExuR-&alpha;-D-galacturonate, &alpha;-D-glucuronate-DNA-binding transcriptional repressor"		Active	None	None	"&alpha;-D-galacturonate"	None	"&alpha;-D-galacturonic acid"
ExuR	DNA-binding transcriptional repressor ExuR,negative regulator of exu regulon, exuT, uxaAC, and uxuB	"ExuR-&alpha;-D-glucuronate"		Inactive			"&alpha;-D-glucuronate"		"&alpha;-D-glucopyranuronic acid,&alpha;-D-glucuronic acid"		DNA-binding transcriptional repressor ExuR	ExuR||negative regulator of exu regulon, exuT, uxaAC, and uxuB	"ExuR-&alpha;-D-glucuronate"		Inactive	None	None	"&alpha;-D-glucuronate"	None	"&alpha;-D-glucuronic acid||&alpha;-D-glucopyranuronic acid"
FadR	DNA-binding transcriptional dual regulator FadR,Dec,Ole,OleR,ThdB	FadR-acyl-CoA	B1187,Dec,FadR,Ole,OleR,ThdB	Inactive	Allosteric	Holo	an acyl-CoA	negative	RCH2CH2CO-CoA,acyl-Coenzyme A,acyl<sub>n+2</sub>-CoA,acyl<sub>n-2</sub>-CoA,fatty acyl thioester-CoA		DNA-binding transcriptional dual regulator FadR	Ole||Dec||ThdB||OleR||FadR	FadR-acyl-CoA	B1187||Ole||Dec||ThdB||OleR||FadR	Active	None	None	an acyl-CoA	None	fatty acyl thioester-CoA||an acyl-CoA||RCH2CH2CO-CoA||acyl-Coenzyme A
FhlA	DNA-binding transcriptional activator FhlA,Fhl,formate hydrogen-lyase transcriptional activator for fdhF, hyc and hyp operons	FhlA-formate	B2731,Fhl,FhlA,FhlA-formate	Active	Allosteric	Holo	formate	positive	formic acid		DNA-binding transcriptional activator FhlA	Fhl||FhlA||formate hydrogen-lyase transcriptional activator for fdhF, hyc and hyp operons	FhlA-Formate DNA-binding transcriptional activator	Fhl||FhlA||FhlA-formate||B2731	Active	None	None	formate	None	formic acid
FrmR	DNA-binding transcriptional repressor FrmR,YaiN	FrmR-formol				Holo	formaldehyde		formalin,formol,methanal		DNA-binding transcriptional repressor FrmR	YaiN||FrmR	FrmR-formol		Inactive	None	None	formaldehyde	None	formalin||methanal||formol
FucR	DNA-binding transcriptional activator FucR	FucR-L-fuculose-1-P		Active	Allosteric	Holo	L-fuculose 1-phosphate	positive	L-fuculose-1-P		DNA-binding transcriptional activator FucR	FucR	FucR-L-fuculose-1-phosphate DNA-binding transcriptional activator		Active	None	None	L-fuculose 1-phosphate	None	L-fuculose-1-P
Fur	DNA-binding transcriptional dual regulator Fur	Fur-Fe<SUP>2+</SUP>		Active	Allosteric	Holo	Fe<SUP>2+</SUP>	negative	Fe<sup>II</sup>,ferrous ion,ferrous iron,iron(II)		DNA-binding transcriptional dual regulator Fur	Fur	Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator		Active	None	None	Fe<SUP>2+</SUP>	None	ferrous iron||ferrous ion||iron(II)||Fe<sup>II</sup>
GalR	DNA-binding transcriptional dual regulator GalR	"GalR-&beta;-D-galactose"	B2837,GalR	Active	Allosteric	Holo	D-galactose				DNA-binding transcriptional dual regulator GalR	GalR	GalR-galactose	B2837||GalR	Active	None	None	D-galactose	None	
GalS	DNA-binding transcriptional dual regulator GalS,MglD	"GalS-&beta;-D-galactose"	B2151,GalS,MglD	Active	Allosteric	Holo	D-galactose				DNA-binding transcriptional dual regulator GalS	MglD||GalS	GalS-galactose	B2151||MglD||GalS	Active	None	None	D-galactose	None	
GcvA	DNA-binding transcriptional dual regulator GcvA,positive regulator of gcv operon	GcvA-gly		Inactive	Allosteric	Holo	glycine	negative	G,aminoacetic acid,gly		DNA-binding transcriptional dual regulator GcvA	GcvA||positive regulator of gcv operon	GcvA-gly		Inactive	None	None	glycine	None	G||aminoacetic acid
GlaR	CsiR,DNA-binding transcriptional repressor GlaR,GabC,YgaE	GlaR-glutarate		Inactive		Holo	glutarate		glutaric acid,pentanedioate		DNA-binding transcriptional repressor GlaR	GlaR||CsiR||YgaE||GabC	GlaR-glutarate		Inactive	None	None	glutarate	None	pentanedioate||glutaric acid
GlcC	DNA-binding transcriptional dual regulator GlcC,YghN	GlcC-glycolate	B2980,GlcC,GlcC-glycolate,YghN	Active	Allosteric	Holo	glycolate	positive	glycolic acid,glycollate,hydroxyacetic acid		DNA-binding transcriptional dual regulator GlcC	YghN||GlcC	GlcC-Glycolate DNA-binding transcriptional dual regulator	B2980||YghN||GlcC||GlcC-glycolate	Active	None	None	glycolate	None	hydroxyacetic acid||glycolic acid||glycollate
GlpR		GlpR-glycerol		Inactive		Holo	glycerol		1,2,3-trihydroxypropane,1,2,3-trihydroxypropanol,glycerin		DNA-binding transcriptional repressor GlpR	GlpR	GlpR-glycerol		Inactive	None	None	glycerol	None	1,2,3-trihydroxypropane||glycerin||1,2,3-trihydroxypropanol
GlpR		GlpR-<i>sn</i>-glycerol 3-phosphate	B3423,GlpR	Inactive	Allosteric	Holo	<i>sn</i>-glycerol 3-phosphate	negative	"&alpha;-glycerophosphate,&alpha;-glycerophosphoric acid,D-glycerol 1-phosphate,L-&alpha;-glycerophosphate,L-G3P,L-glycerol 3-phosphate,glycerol 3-phosphate"		DNA-binding transcriptional repressor GlpR	GlpR	GlpR-glycerol-3-phosphate	B3423||GlpR	Inactive	None	None	<i>sn</i>-glycerol 3-phosphate	None	"L-&alpha;-glycerophosphate||L-G3P||L-glycerol 3-phosphate||&alpha;-glycerophosphoric acid||&alpha;-glycerophosphate||D-glycerol 1-phosphate||glycerol 3-phosphate"
GntR	DNA-binding transcriptional repressor GntR	GntR-D-gluconate	B3438,GntR	Inactive	Allosteric	Holo	D-gluconate	negative	D-gluconic acid,dextronic acid,maltonic acid		DNA-binding transcriptional repressor GntR	GntR	GntR-gluconate	B3438||GntR	Inactive	None	None	D-gluconate	None	D-gluconic acid||dextronic acid||maltonic acid
SrlR	DNA-binding transcriptional repressor SrlR,GutR	SrlR-D-sorbitol 	B2707,GutR,SrlR	Inactive	Allosteric	Holo	D-sorbitol	negative	(2S,3R,4R,5R)-hexane-1,2,3,4,5,6-hexol,D-glucitol,L-gulitol,iso-sorbide,meglumine		DNA-binding transcriptional repressor SrlR	GutR||SrlR	GutR-sorbitol	B2707||GutR||SrlR	Inactive	None	None	D-sorbitol	None	L-gulitol||D-glucitol||meglumine||iso-sorbide||(2S,3R,4R,5R)-hexane-1,2,3,4,5,6-hexol
HcaR	DNA-binding transcriptional dual regulator HcaR,PhdR,YfhT	HcaR-HCA	B2537,HcaR,PhdR,YfhT	Active		Holo	3-phenylpropanoate		3-phenylpropionate,3-phenylpropionic acid,HCA,hydrocinnamate,hydrocinnamic acid,phenylpropanoate		DNA-binding transcriptional dual regulator HcaR	PhdR||HcaR||YfhT	HcaR-HCA DNA-binding transcriptional dual regulator	B2537||YfhT||PhdR||HcaR	Active	None	None	3-phenylpropanoate	None	hydrocinnamate||3-phenylpropionic acid||hydrocinnamic acid||HCA||phenylpropanoate||3-phenylpropionate
IclR	DNA-binding transcriptional repressor IclR	IclR-glyox		Inactive	Allosteric	Holo	glyoxylate	negative	glyox,glyoxalate,glyoxylic acid		DNA-binding transcriptional repressor IclR	IclR	IclR-glyox		Inactive	None	None	glyoxylate	None	glyoxalate||glyox||glyoxylic acid
IclR	DNA-binding transcriptional repressor IclR	IclR-pyruvate		Active	Allosteric	Holo	pyruvate	negative	"&alpha;-ketopropionic acid,2-oxo-propionic acid,2-oxopropanoate,2-oxopropanoic acid,BTS,acetylformic acid,alpha-ketopropionic acid,pyroracemic acid,pyruvic acid"		DNA-binding transcriptional repressor IclR	IclR	IclR-pyruvate DNA-binding transcriptional repressor		Active	None	None	pyruvate	None	"alpha-ketopropionic acid||BTS||&alpha;-ketopropionic acid||acetylformic acid||pyroracemic acid||2-oxopropanoic acid||pyruvic acid||2-oxopropanoate||2-oxo-propionic acid"
IdnR	DNA-binding transcriptional dual regulator IdnR,GntH,YjgS	IdnR-5-ketogluconate	B4264,GntH,IdnR,YjgS	Active	Allosteric	Holo	5-dehydro-D-gluconate	positive	5-dehydrogluconate,5-keto-D-gluconate,5-keto-D-gluconic acid,5-ketogluconate		DNA-binding transcriptional dual regulator IdnR	GntH||YjgS||IdnR	IdnR-5-ketogluconate DNA-binding transcriptional dual regulator	B4264||YjgS||GntH||IdnR	Active	None	None	5-dehydro-D-gluconate	None	5-keto-D-gluconic acid||5-keto-D-gluconate||5-ketogluconate||5-dehydrogluconate
IlvY	DNA-binding transcriptional dual regulator IlvY,positive regulator for ilvC	IlvY-(<i>S</i>)-2-acetolactate		Active	Allosteric	Holo	(<i>S</i>)-2-acetolactate	positive	"&alpha;-acetolactate,(2<i>S</i>)-2-hydroxy-2-methyl-3-oxobutanoate,(<i>S</i>)-2-hydroxy-2-methyl-3-oxobutanoate"		DNA-binding transcriptional dual regulator IlvY	IlvY||positive regulator for ilvC	IlvY-2-acetolactate DNA-binding transcriptional dual regulator		Active	None	None	(<i>S</i>)-2-acetolactate	None	"(<i>S</i>)-2-hydroxy-2-methyl-3-oxobutanoate||&alpha;-acetolactate||(2<i>S</i>)-2-hydroxy-2-methyl-3-oxobutanoate"
IscR	DNA-binding transcriptional dual regulator IscR,YfhP	IscR-2Fe-2S		Active	Covalent	Holo	a [2Fe-2S] iron-sulfur cluster	positive	2Fe-2S,Fe<sub>2</sub>S<sub>2</sub>,Fe<sub>2</sub>S<sub>2</sub> iron-sulfur cluster,[2Fe-2S],[2Fe-2S] cluster,a 2Fe-2S center,a 2Fe-2S cluster,an Fe<sub>2</sub>S<sub>2</sub> iron-sulfur center,an iron-sulfur center (ambiguous)		DNA-binding transcriptional dual regulator IscR	IscR||YfhP	IscR-2Fe-2S DNA-binding transcriptional repressor		Active	None	None	a [2Fe-2S] iron-sulfur cluster	None	an iron-sulfur center (ambiguous)||Fe<sub>2</sub>S<sub>2</sub> iron-sulfur cluster||a 2Fe-2S center||a 2Fe-2S cluster||2Fe-2S||Fe<sub>2</sub>S<sub>2</sub>||an Fe<sub>2</sub>S<sub>2</sub> iron-sulfur center||[2Fe-2S]||[2Fe-2S] cluster
LacI	DNA-binding transcriptional repressor LacI,transcriptional repressor of the lac operon	LacI-allolactose	B0345,LacI	Inactive	Allosteric	Holo	allolactose	negative	"&beta;-D-galactopyranosyl-(1&rarr;6)-D-glucopyranose"		DNA-binding transcriptional repressor LacI	LacI||transcriptional repressor of the lac operon	LacI-allolactose	B0345||LacI	Inactive	None	None	allolactose	None	"&beta;-D-galactopyranosyl-(1&rarr;6)-D-glucopyranose"
