# From bin/get_pathway_compounds.pl on Sun Jul 26 11:16:24 2020
# Pathway	Enzymes
PWY-6277	GART-MONOMER,PRPPAMIDOTRANS-CPLX,GLYCRIBONUCSYN-MONOMER,FGAMSYN-MONOMER,AIRS-CPLX,GARTRANSFORMYL2-MONOMER
NAGLIPASYN-PWY	CPLX0-7415,TETRAACYLDISACC4KIN-MONOMER,EG12666-MONOMER,CPLX0-8016,UDPACYLGLCNACDEACETYL-MONOMER,UDPNACETYLGLUCOSAMACYLTRANS-CPLX
DTDPRHAMSYN-PWY	DTDPDEHYDRHAMEPIM-MONOMER,DTDPDEHYRHAMREDUCT-MONOMER,DTDPGLUCDEHYDRAT-CPLX,CPLX0-8034,CPLX0-8012
KDO-LIPASYN-PWY	LAUROYLACYLTRAN-MONOMER,MYRISTOYLACYLTRAN-MONOMER
PWY-6121	PRPPAMIDOTRANS-CPLX,GLYCRIBONUCSYN-MONOMER,GART-MONOMER,FGAMSYN-MONOMER,AIRS-CPLX
LPSSYN-PWY	CPLX0-7415,TETRAACYLDISACC4KIN-MONOMER,EG12666-MONOMER,CPLX0-8016,UDPACYLGLCNACDEACETYL-MONOMER,UDPNACETYLGLUCOSAMACYLTRANS-CPLX,CPM-KDOSYNTH-MONOMER,KDO-8PPHOSPHAT-CPLX,KDO-8PSYNTH-CPLX,CPLX0-1262,CPLX0-3929,KDOTRANS-MONOMER,LAUROYLACYLTRAN-MONOMER,MYRISTOYLACYLTRAN-MONOMER,EG11189-MONOMER,EG12210-MONOMER,EG11339-MONOMER,EG11340-MONOMER,EG11341-MONOMER,EG11425-MONOMER,EG11351-MONOMER,EG11352-MONOMER,EG11353-MONOMER,EG11423-MONOMER
PWY-7544	PYRUVOXID-CPLX,CYT-O-UBIOX-CPLX
PWY0-1334	NADH-DHI-CPLX,CYT-D-UBIOX-CPLX
TYRSYN	TYRB-DIMER,ASPAMINOTRANS-DIMER,CHORISMUTPREPHENDEHYDRAT-CPLX,CHORISMUTPREPHENDEHYDROG-CPLX
PWY0-1544	CYT-O-UBIOX-CPLX,PUTA-CPLX
PWY0-1567	NADH-DHII-MONOMER,CYT-O-UBIOX-CPLX
PWY0-1329	CYT-O-UBIOX-CPLX,CPLX0-8160
PWY-7805	EG10724-MONOMER,CPLX0-7958,EG10722-MONOMER,EG10719-MONOMER,CPLX0-7936,EG10723-MONOMER,ADENPRIBOSYLTRAN-CPLX,CPLX0-243,ALKAPHOSPHA-CPLX
PWY0-1353	CPLX0-8160,CYT-D-UBIOX-CPLX
CARNMET-PWY	CROBETREDUCT-MONOMER,CARNDEHYDRA-CPLX,CARNRACE-MONOMER,CAIC-MONOMER
PWY0-1565	DLACTDEHYDROGFAD-MONOMER,CYT-O-UBIOX-CPLX
GLUTAMINDEG-PWY	GLUTAMATESYN-CPLX,ASNSYNB-CPLX,CARBPSYN-CPLX,CTPSYN-CPLX,GMP-SYN-CPLX,GLUTAMIDOTRANS-CPLX,CPLX0-7695,CPLX0-7694
PWY-7545	PYRUVOXID-CPLX,CYT-D-UBIOX-CPLX
FASYN-ELONG-PWY	FABA-CPLX,FABZ-CPLX,CPLX0-8005,FABB-CPLX,3-OXOACYL-ACP-SYNTHII-CPLX,CPLX0-8006
PWY0-1335	NADH-DHI-CPLX,CYT-O-UBIOX-CPLX
PWY-5965	3-OXOACYL-ACP-SYNTHII-CPLX,FABB-CPLX
PWY0-1561	AERGLYC3PDEHYDROG-CPLX,CYT-O-UBIOX-CPLX
PWY-4381	MALONYL-COA-ACP-TRANSACYL-MONOMER,CPLX0-252,ACETYL-COA-CARBOXYLTRANSFER-CPLX
PWY0-1568	NADH-DHII-MONOMER,CYT-D-UBIOX-CPLX
PWY0-881	MALONYL-COA-ACP-TRANSACYL-MONOMER,ACETYL-COA-CARBOXYLTRANSFER-CPLX,CPLX0-252,FABA-CPLX,FABZ-CPLX,CPLX0-8005,FABB-CPLX,3-OXOACYL-ACP-SYNTHII-CPLX,CPLX0-8006
FASYN-INITIAL-PWY	MALONYL-COA-ACP-TRANSACYL-MONOMER,ACETYL-COA-CARBOXYLTRANSFER-CPLX,FABB-CPLX,3-OXOACYL-ACP-SYNTHII-CPLX,CPLX0-252
TRESYN-PWY	TREHALOSE6PSYN-MONOMER,TREHALOSEPHOSPHASYN-MONOMER
PWY-5966	FABB-CPLX,3-OXOACYL-ACP-SYNTHII-CPLX,CPLX0-252
PWY-6708	OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-MON,2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER,OCTAPRENYL-METHOXYPHENOL-OH-MONOMER,DHHB-METHYLTRANSFER-CPLX,EG11333-MONOMER,CPLX0-301,4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER
GLYCOGENSYNTH-PWY	GLYCOGENSYN-MONOMER,GLYCOGEN-BRANCH-MONOMER,GLUC1PADENYLTRANS-CPLX,PHOSPHOGLUCMUT-MONOMER
PWY-5484	PKII-CPLX,PKI-COMPLEX,ENOLASE-CPLX,PGMI-MONOMER,PGK,GAPDH-A-CPLX,TPI,FRUCBISALD-CLASSII,FRUCBISALD-CLASSI,6PFK-2-CPX,6PFK-1-CPX,PEPSYNTH-CPLX,F16B-CPLX,CPLX0-303,EG11239-MONOMER,CPLX0-7776,ALKAPHOSPHA-CPLX,PHOSGLYCMUTASE
SERSYN-PWY	PSERTRANSAM-CPLX,PGLYCDEHYDROG-CPLX,PSERPHOSPHA-MONOMER
GLYCOLYSIS	PKII-CPLX,PKI-COMPLEX,ENOLASE-CPLX,PGMI-MONOMER,PGK,GAPDH-A-CPLX,TPI,FRUCBISALD-CLASSII,FRUCBISALD-CLASSI,6PFK-2-CPX,6PFK-1-CPX,CPLX0-7877,PEPSYNTH-CPLX,F16B-CPLX,CPLX0-303,EG11239-MONOMER,CPLX0-7776,PHOSGLYCMUTASE
PWY-5973	CPLX0-7630,FABB-CPLX,3-OXOACYL-ACP-SYNTHII-CPLX,CPLX0-8005,FABZ-CPLX,CPLX0-8006
SERDEG-PWY	LSERINEDEAM2-MONOMER,THREDEHYDCAT-CPLX,LSERINEDEAM1-MONOMER,CPLX0-7622
PWY-6284	FABA-CPLX,CPLX0-7630,FABB-CPLX,3-OXOACYL-ACP-SYNTHII-CPLX,CPLX0-8005,FABZ-CPLX,CPLX0-8006
PWY0-862	CPLX0-8006,CPLX0-8005,FABB-CPLX,FABZ-CPLX,FABA-CPLX
PWY-4621	EG12237-MONOMER
RIBOSYN2-PWY	RIBF-MONOMER,CPLX0-3952,LUMAZINESYN-CPLX,G6442-MONOMER,EG11202-MONOMER,DIOHBUTANONEPSYN-CPLX,CPLX0-7659,GTP-CYCLOHYDRO-II-CPLX
PWY0-1597	CPLX0-3721,G6580-MONOMER,CPLX0-8211,UBIX-MONOMER
GLUTSYN-PWY	GLUTAMATESYN-CPLX
GLUTSYNIII-PWY	GDHA-CPLX
PWY-1801	G6208-MONOMER,CPLX0-3954,ADHC-CPLX
PWY0-1298	CYTIDEAM-CPLX,DEOA-CPLX,EG12159-MONOMER,PPENTOMUT-MONOMER,DEOXYRIBOSE-P-ALD-MONOMER,G7285-MONOMER,ADHE-CPLX,MHPF-MONOMER
PWY0-1477	ETHAMLY-CPLX,G7285-MONOMER,MHPF-MONOMER,PHOSACETYLTRANS-CPLX,CPLX0-7912,ACETATEKINA-MONOMER,GARTRANSFORMYL2-MONOMER,ADHE-CPLX,CPLX0-8015
PWY-6071	AMINEOXID-CPLX,PHENDEHYD-CPLX,G6716-MONOMER,CPLX0-1762,G6718-MONOMER,G6715-MONOMER,G6708-MONOMER,G6719-MONOMER,G6714-MONOMER
PWY0-981	CPLX0-227
ORNDEG-PWY	ORNDECARBOXDEG-CPLX,CPLX0-3641,CPLX0-8159,CPLX0-3943,ALDHDEHYDROG-MONOMER,EG11822-MONOMER,CPLX0-7709
GLCMANNANAUT-PWY	GLUCOSAMINE-6-P-DEAMIN-CPLX,NAG6PDEACET-CPLX,NANE-MONOMER,ACNEULY-CPLX,NANK-MONOMER
SULFATE-CYS-PWY	PAPSSULFOTRANS-CPLX,SULFITE-REDUCT-CPLX,SULFATE-ADENYLYLTRANS-CPLX,ADENYLYLSULFKIN-CPLX,CPLX0-237,ACSERLYA-CPLX,ACSERLYB-CPLX,PSERTRANSAM-CPLX,PGLYCDEHYDROG-CPLX,PSERPHOSPHA-MONOMER,APHA-CPLX
ALKANEMONOX-PWY	CPLX0-224,CPLX0-225
SO4ASSIM-PWY	PAPSSULFOTRANS-CPLX,SULFITE-REDUCT-CPLX,SULFATE-ADENYLYLTRANS-CPLX,ADENYLYLSULFKIN-CPLX
PWY-6153	CPLX0-1541,EG12712-MONOMER
GLYSYN-PWY	GLYOHMETRANS-CPLX
COLANSYN-PWY	GDPMANDEHYDRA-CPLX,CPLX0-3881,CPLX0-7877,MANNPISOM-MONOMER,PHOSMANMUT-MONOMER,MANNPGUANYLTRANGDP-MONOMER,CPLX0-8205,PHOSPHOGLUCMUT-MONOMER,UDPGLUCEPIM-CPLX,CPLX0-8098
PLPSAL-PWY	PDXH-CPLX,PDXK-CPLX,CPLX0-8031
HOMOSERSYN-PWY	ASPKINIII-CPLX,ASP-SEMIALDEHYDE-DEHYDROGENASE-CPLX,ASPKINIHOMOSERDEHYDROGI-CPLX,ASPKINIIHOMOSERDEHYDROGII-CPLX
PWY-5155	CPLX0-2901
PYRIDOXSYN-PWY	PDXH-CPLX,ERYTH4PDEHYDROG-CPLX,CPLX0-743,CPLX0-321,CPLX0-8212,PSERTRANSAM-CPLX,CPLX0-7847
PWY-6894	THI-P-KIN-MONOMER,THIE-MONOMER
PWY-7181	CYTIDEAM-CPLX,DEOA-CPLX,EG12159-MONOMER
PWY-6892	THIG-MONOMER,CPLX0-743,THII-MONOMER,THIF-MONOMER,THIH-MONOMER,CPLX0-248,CPLX0-246
THRDLCTCAT-PWY	THREODEHYD-CPLX,EG12293-MONOMER,AMINEOXID-CPLX
PWY0-1295	CYTIDEAM-CPLX,URPHOS-CPLX,EG12159-MONOMER,PPENTOMUT-MONOMER
PWY-40	ARGDECARBOXBIO-CPLX,AGMATIN-CPLX
PWY-5437	KETOBUTFORMLY-MONOMER,PYRUVFORMLY-CPLX,PHOSACETYLTRANS-CPLX,PROPKIN-MONOMER,ACETATEKINA-MONOMER,THREDEHYDCAT-CPLX
PWY-46	ORNDECARBOX-BIO-CPLX
PWY-6268	COBALADENOSYLTRANS-MONOMER
PHOSLIPSYN-PWY	CARDIOLIPSYN-MONOMER,G6406-MONOMER,PHOSPHASERSYN-MONOMER,PHOSPHASERDECARB-DIMER,GLYC3PDEHYDROGBIOSYN-CPLX,1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER,CDPDIGLYSYN-MONOMER,GLYCEROL-3-P-ACYLTRANSFER-MONOMER,PHOSPHAGLYPSYN-MONOMER,PGPPHOSPHAA-MONOMER,PGPPHOSPHAB-MONOMER,EG11371-MONOMER,G6551-MONOMER
COBALSYN-PWY	COBS-MONOMER,RIBAZOLEPHOSPHAT-MONOMER,DMBPPRIBOSYLTRANS-CPLX,COBU-CPLX,COBALADENOSYLTRANS-MONOMER
HEMESYN2-PWY	PROTOHEME-FERROCHELAT-MONOMER,UROGENDECARBOX-MONOMER,HEMN-MONOMER,CPLX0-7811
PWY-7971	COBU-CPLX,COBALADENOSYLTRANS-MONOMER
HEME-BIOSYNTHESIS-II	UROGENDECARBOX-MONOMER,CPLX0-7811,PROTOHEME-FERROCHELAT-MONOMER,CPLX0-7808
PWY0-1415	CPLX0-7808,PROTOHEME-FERROCHELAT-MONOMER,CPLX0-7810,G7266-MONOMER,UROGENDECARBOX-MONOMER,HEMN-MONOMER,CPLX0-7811
UDPNAGSYN-PWY	NAG1P-URIDYLTRANS-CPLX,L-GLN-FRUCT-6-P-AMINOTRANS-CPLX,PHOSGLUCOSAMINEMUT-MONOMER,CPLX0-7877
PWY0-1319	GLYC3PDEHYDROGBIOSYN-CPLX,1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER,CDPDIGLYSYN-MONOMER,GLYCEROL-3-P-ACYLTRANSFER-MONOMER
PWY-5667	CDPDIGLYSYN-MONOMER,1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER,GLYCEROL-3-P-ACYLTRANSFER-MONOMER,GLYC3PDEHYDROGBIOSYN-CPLX
PWY-5436	LTAA-CPLX,G7285-MONOMER,ADHE-CPLX,MHPF-MONOMER
TRPSYN-PWY	PRAI-IGPS,ANTHRANSYNCOMPII-MONOMER,ANTHRANSYN-CPLX,TRYPSYN-APROTEIN,TRYPSYN,CPLX0-2401
THREONINE-DEG2-PWY	THREODEHYD-CPLX,EG12293-MONOMER,AKBLIG-CPLX
PWY-6151	CPLX0-1541,EG12712-MONOMER,S-ADENMETSYN-CPLX,HOMOCYSMETB12-MONOMER,HOMOCYSMET-MONOMER
PWY-5350	CPLX0-242,EG10780-MONOMER,EG11600-MONOMER,CPLX0-8219
UBISYN-PWY	CHORPYRLY-MONOMER,OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-MON,2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER,OCTAPRENYL-METHOXYPHENOL-OH-MONOMER,DHHB-METHYLTRANSFER-CPLX,EG11333-MONOMER,CPLX0-301,4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER,CPLX0-7426,FPPSYN-MONOMER,IPPISOM-MONOMER
PWY-5901	ENTC-MONOMER,ENTB-CPLX,ENTA-CPLX
GALACT-GLUCUROCAT-PWY	ALTRODEHYDRAT-MONOMER,ALTRO-OXIDOREDUCT-MONOMER,MANNONOXIDOREDUCT-MONOMER,MANNONDEHYDRAT-MONOMER,DEOXYGLUCONOKIN-MONOMER,KDPGALDOL-4OH2OXOGLUTARALDOL-CPLX,UXAC-MONOMER,CPLX0-7662
VALSYN-PWY	DIHYDROXYACIDDEHYDRAT-CPLX,BRANCHED-CHAINAMINOTRANSFER-CPLX,CPLX0-7643,ACETOLACTSYNI-CPLX,ACETOLACTSYNII-CPLX,ACETOLACTSYNIII-CPLX
PWY0-166	DCTP-DEAM-CPLX,RIBONUCLEOSIDE-TRIP-REDUCT-CPLX,CPLX0-7692,DUTP-PYROP-CPLX,G7164-MONOMER,THYMIDYLATESYN-CPLX,CPLX0-8260,NUCLEOSIDE-DIP-KIN-CPLX,ADENYL-KIN-MONOMER,RIBONUCLEOSIDE-DIP-REDUCTII-CPLX,RIBONUCLEOSIDE-DIP-REDUCTI-CPLX
XYLCAT-PWY	CPLX0-7466,XYLISOM-CPLX
